open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume,ignore,datetime
1702857600000,41401.53,42707.71,40533.7,42628.76,198.62958,1702943999999,8252182.7899465,18579,102.38315,4258023.7353049,0,2023-12-18
1702944000000,42640.13,43268.11,41818.34,42270.46,205.44794,1703030399999,8748583.0466636,21600,97.54716,4160235.6500607,0,2023-12-19
1703030400000,42285.38,44266.37,42207.14,43676.0,280.8664,1703116799999,12206026.6536239,29443,157.9132,6860183.7847334,0,2023-12-20
1703116800000,43661.78,44230.0,43303.88,43854.69,240.3177,1703203199999,10519282.3610339,25835,119.77869,5244863.4569406,0,2023-12-21
1703203200000,43854.09,44250.0,43468.86,43961.99,216.33361,1703289599999,9481100.1577062,22685,106.39733,4668483.3614949,0,2023-12-22
1703289600000,43936.56,43985.0,43316.8,43700.1,122.84694,1703375999999,5366964.4111693,11985,54.81837,2396366.4952441,0,2023-12-23
1703376000000,43700.12,43928.28,42820.95,42991.17,199.04718,1703462399999,8662688.2982836,15334,88.24677,3845002.733816,0,2023-12-24
1703462400000,42965.64,43739.17,42759.01,43607.38,135.29789,1703548799999,5868275.2994696,14683,78.36555,3399784.2081791,0,2023-12-25
1703548800000,43583.07,43605.95,41788.0,42526.37,165.30277,1703635199999,7035762.2012128,18595,66.81377,2840452.1316645,0,2023-12-26
1703635200000,42505.16,43657.61,42126.6,43410.09,177.57394,1703721599999,7636498.2914488,24697,105.87887,4556831.7856678,0,2023-12-27
1703721600000,43434.54,43723.42,42320.0,42601.54,168.15707,1703807999999,7223161.2278598,28750,77.88974,3346799.9015647,0,2023-12-28
1703808000000,42601.54,43098.35,41296.35,42085.42,228.6485,1703894399999,9646105.3237682,30316,112.28143,4739593.5321011,0,2023-12-29
1703894400000,42085.36,42598.22,41516.66,42138.01,146.52109,1703980799999,6175786.6607667,26577,72.75498,3070727.3251604,0,2023-12-30
1703980800000,42163.09,42858.4,42007.52,42255.16,151.28184,1704067199999,6418701.6446333,33215,77.30375,3280486.0579844,0,2023-12-31
